11.;Andorra - Burgos;1;;
12.;Cádiz - Albacete;1;;
13.;Las Palmas - Málaga;2;;
14.;Granada - Mirandés;2;;
P-15;Rayo Vallecano - Barcelona;1-1;;
;;;;
Jornada 2ª;;;;
domingo - 24/08/2025;;;;
+ Info ;;;;
1.;Mallorca - Celta;X;;
2.;At. Madrid - Elche;X;;
3.;Levante - Barcelona;2;;
4.;Osasuna - Valencia;1;;
5.;Real Sociedad - Espanyol;X;;
6.;Villarreal - Girona;1;;
7.;R. Oviedo - Real Madrid;2;;
8.;Athletic Club - Rayo Vallecano;1;;
9.;Mirandés - Huesca;2;;
10.;Ceuta - Sporting;2;;
11.;R. Zaragoza - Andorra;2;;
12.;Deportivo - Burgos;X;;
13.;Cultural Leonesa - Almería;2;;
14.;Albacete - Racing Santander;2;;
P-15;Sevilla - Getafe;1-2;;
;;;;
Jornada 1ª;;;;
domingo - 17/08/2025;;;;
+ Info ;;;;
1.;Girona - Rayo Vallecano;2;;
2.;Villarreal - R. Oviedo;1;;
3.;Alavés - Levante;1;;
4.;Mallorca - Barcelona;2;;
5.;Valencia - Real Sociedad;X;;
6.;Celta - Getafe;2;;
7.;Athletic Club - Sevilla;1;;
8.;Espanyol - At. Madrid;1;;
9.;Racing Santander - Castellón;1;;
10.;Málaga - Eibar;X;;
11.;Granada - Deportivo;2;;
12.;Cádiz - Mirandés;1;;
13.;Huesca - Leganés;X;;
14.;Las Palmas - Andorra;X;;
P-15;Elche - Betis;1-1;;
